name,smiles,Tox-score,SAscore
3-aminocrotononitrile,CC(=CC#N)N,0.7469529571648095,0.07563670292294744
3-aminomethylpyridine,C1=CC(=CN=C1)CN,0.5110109926889344,0.4525379820417133
3-aminophenol,C1=CC(=CC(=C1)O)N,0.6950472385048384,0.44756687578583365
3-aminopyrazole,C1=C(NN=C1)N,0.531761236390737,0.12089905635436009
3-aminopyridine,C1=CC(=CN=C1)N,0.6043998058824455,0.385863623541664
3-Chlorophenmetrazine,CC1C(OCCN1)C2=CC(=CC=C2)Cl,0.4773498701291168,0.11549423881100089
3-Chloropropanoic acid,C(CCl)C(=O)O,0.7014770450368041,0.26548220331827904
3-Fluorophenmetrazine,CC1C(OCCN1)C2=CC(=CC=C2)F,0.42210599389906783,0.11376110145679684
3-HydroxyMethamphproamine,CC(CCC1=CC(=CC=C1)O)NC,0.4107872334856214,0.25042189448399055
3-Iodophenmetrazine,CC1C(OCCN1)C2=CC(=CC=C2)I.Cl,0.4927720203432189,0.07706148520475346
3-Methoxyphenmetrazine,CC1C(OCCN1)C2=CC(=CC=C2)OC,0.45243875010104784,0.12735763730820748
3-Methylphenmetrazine,CC1C(OCCN1)C2=CC=CC(=C2)C,0.5100580736877516,0.11684860351613291
"4,5-Dimethoxy-2-methylbenzaldehyde",CC1=CC(=C(C=C1C=O)OC)OC,0.6653037674104503,0.40951050735083816
4-acetamidothiophenol,CC(=O)NC1=CC=C(C=C1)S,0.6078097901941553,0.3950018021517832
4-AcO-DMT,CC(=O)OC1=CC=CC2=C1C(=CN2)CCN(C)C,0.5503151765845044,0.2767736026342771
4-AcO-MET,CCN(C)CCC1=CNC2=C1C(=CC=C2)OC(=O)C,0.4666379366644589,0.2538253770480185
4-AcO-MiPT,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)OC(=O)C,0.44640543129130794,0.24290957962866316
4-amino-3-methylbenzoic acid,CC1=C(C=CC(=C1)C(=O)O)N,0.5442504072017361,0.5261893050276358
4-amino-3-nitrobenzotrifluoride,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])N,0.6487458896160745,0.3472482971842557
4-aminoacetanilide,CC(=O)NC1=CC=C(C=C1)N,0.45589717421741777,0.63184212332159
4-aminoacetophenone,CC(=O)C1=CC=C(C=C1)N,0.6493505717962558,0.6205390131562887
4-aminoantipyrine,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,0.391841081478748,0.3460685214503857
4-aminobenzamide,C1=CC(=CC=C1C(=O)N)N,0.6284100616968761,0.5858599595272342
4-aminobenzoic acid ethyl ester,CCOC(=O)C1=CC=C(C=C1)N,0.5047813008303644,0.636386908179841
4-aminobiphenyl,C1=CC=C(C=C1)C2=CC=C(C=C2)N,0.749811550110258,0.7662367824738395
4-aminomethylbenzoic acid,C1=CC(=CC=C1CN)C(=O)O,0.39513931264399327,0.6296878204348492
4-aminophenol,C1=CC(=CC=C1N)O,0.6978257937880661,0.5501496352477289
4-aminopyridine,C1=CN=CC=C1N,0.6222590195996749,0.3863313954671153
4-aminoquinaldine,CC1=NC2=CC=CC=C2C(=C1)N,0.538641103018556,0.45599013870683675
"4-bromo-2,5-dimethoxybenzaldehyde",COC1=CC(=C(C=C1C=O)OC)Br,0.6996858515666282,0.35276841472790244
4-Bromobutanoic acid,C(CC(=O)O)CBr,0.6334002742491929,0.31595292498389643
"4'-Dimethylamino-7,8-dihydroxyflavone",CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,0.5713510183632036,0.2727097967881403
"4'-DMA-7,8-DHF",CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O.Br,0.5715494764214198,0.24390160497436122
4-Ethoxy-3-methoxybenzaldehyde,CCOC1=C(C=C(C=C1)C=O)OC,0.4690966884807609,0.518800478689131
4-Fluorophenibut,C1=CC(=CC=C1C(CC(=O)O)CN)F,0.33403494313418924,0.24885107329671796
4-Fluorophenmetrazine,CC1C(OCCN1)C2=CC=C(C=C2)F,0.42686652660283364,0.12648723797742253
4-Fluorotropacocaine,CN1C2CCC1CC(C2)OC(=O)C3=CC=C(C=C3)F,0.27005899619060153,0.08370221368137859
"4-Formyl-2,3,6,7-tetrahydrobenzo[1,2-b:4,5-b']difuran",C1COC2=C(C3=C(C=C21)OCC3)C=O,0.6372089435861327,0.13105886202269434
4-HO-DiPT,CC(C)N(CCC1=CNC2=C1C(=CC=C2)O)C(C)C,0.4370616891302634,0.22602949668368205
4-HO-DPT,CCCN(CCC)CCC1=CNC2=C1C(=CC=C2)O,0.5432695216660888,0.2506429489816098
4-HO-EPT,CCCN(CC)CCC1=CNC2=C1C(=CC=C2)O,0.4947102296736802,0.2537098869058466
4-HO-MET,CCN(C)CCC1=CNC2=C1C(=CC=C2)O,0.5195855989857078,0.2524048878425957
4-methoxybenzaldehyde,COC1=CC=C(C=C1)C=O,0.6202830933113269,0.6134151539781011
4-methoxybenzenesulfonyl chloride,COC1=CC=C(C=C1)S(=O)(=O)Cl,0.617335793544849,0.54621452117006
4-methoxybenzylamine,COC1=CC=C(C=C1)CN,0.49175248548230366,0.7090192064116208
4-methylacetophenone,CC1=CC=C(C=C1)C(=O)C,0.7397381499718809,0.8182122765671779
4-Methylphenmetrazine,CC1C(OCCN1)C2=CC=C(C=C2)C,0.5350782854605265,0.1307778737365438
4-n-boc-aminopiperidine,CC(C)(C)OC(=O)NC1CCNCC1,0.5215119163704552,0.31685669077216577
5-aminotetrazole,C1(=NNN=N1)N,0.6155869182389062,0.10357736779087809
5-aminovaleric acid,C(CCN)CC(=O)O,0.48754039978766434,0.47657074469817357
5-Bromo-DMT,CN(C)CCC1=CNC2=C1C=C(C=C2)Br,0.5016451673422474,0.3396201049988236
5-Fluoro-iPT,CC(C)NCCC1=CNC2=C1C=C(C=C2)F,0.28304644835091647,0.34932750103285903
5-Fluoro-MET,CCN(C)CCC1=CNC2=C1C=C(C=C2)F,0.3824728527140939,0.3240045545234186
5-HTP,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,0.3243657994271606,0.20450652591952273
5-Hydroxytryptophan,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,0.3243657994271606,0.20450652591952273
5-MeO-DiPT,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C,0.3520596145104752,0.29636910013679846
5-MeO-DMT,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,0.4352094754654499,0.3853367290213683
5-MeO-DPT,CCCN(CCC)CCC1=CNC2=C1C=C(C=C2)OC,0.4038278774619767,0.3234515065365398
5-MeO-HiPT,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)O,0.33893628796687264,0.22175122838593944
5-MeO-MALT,CN(CCC1=CNC2=C1C=C(C=C2)OC)CC=C,0.42131040183326096,0.2831810538473364
5-MeO-NMT,CNCCC1=CNC2=C1C=C(C=C2)OC,0.3836314252991001,0.3772051652226704
5-MeO-T-NB2F,COC1=CC2=C(C=C1)NC=C2CCNCCC3=CC=CC=C3F,0.3610690429276984,0.36174307422450824
5-MTHF,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,0.3497482636162798,0.07341791521463245
6-amino-2-methylhexanoic acid,[CH2+]C(CCCCN)C(=O)O,0.47330671197679064,0.06357367117727453
6-aminohexanoic acid,C(CCC(=O)O)CCN,0.4769486240799072,0.4834911646471779
6-Fluoro-iPTHBC,CC(C)C1C2=C(CCN1)C3=C(N2)C=CC(=C3)F,0.323923932447199,0.13574327716136605
6-MeO-THH,CC1C2=C(CCN1)C3=C(N2)C=CC(=C3)OC,0.40407067504556027,0.15672322079387158
"7,8-DHF",C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,0.6343554021307545,0.332050938624643
"7,8-Dihydroxyflavone",C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,0.6343554021307545,0.332050938624643
